,address,confidence,hid,lat,lng,status
4,新北市新莊區中正路７９４號、桃園縣龜山鄉萬壽路１段５０巷２號,0,0131060010,,,ZERO_RESULTS
63,台北市大安區光復南路１１６巷１、３、５號１－４樓及地下１樓,0,1501021193,,,ZERO_RESULTS
66,台北市中山區民權東路２段９２巷２－１號（地下１樓至地上６樓）,0,1501101141,,,ZERO_RESULTS
154,新北市新莊區中華路１段２號1至４樓,0,2331060016,,,ZERO_RESULTS
372,台北市大安區和平東路２段１２０號１．２．３，４樓,0,3501022843,,,ZERO_RESULTS
643,台北市中山區長安東路２段１３１－３號１、２樓,0,3501103781,,,ZERO_RESULTS
1242,台北市中正區忠孝東路１段５４之１號、之２號、５４號２樓、３樓,0,3501185336,,,ZERO_RESULTS
1425,基隆市中正區中正路７４８─１號,0,3511010408,,,ZERO_RESULTS
1932,新北市三重區大有里中正北路３４６號２樓,0,3531021783,,,ZERO_RESULTS
1953,新北市三重區正義北路３１０─１號,0,3531022459,,,ZERO_RESULTS
1981,新北市三重區五華街１０８─２號,0,3531024319,,,ZERO_RESULTS
2056,新北市三重區重陽路２段６５號１樓２樓及６７號１樓２樓,0,3531025816,,,ZERO_RESULTS
2061,新北市三重區重新路４段５３號２樓、３樓、３樓－１,0,3531025870,,,ZERO_RESULTS
2138,新北市永和區竹林路１３３１號,0,3531033327,,,ZERO_RESULTS
2378,新北市中和區中山路３段１２１號１樓、１２１之１號２樓、3樓,0,3531045667,,,ZERO_RESULTS
